ticker,company,market,official_sector,sub_industry,supply_chain,chain_node,theme,role,weight,confidence,source,updated_at,graph_role
2330,台積電,TWSE,電子工業,晶圓代工,AI / HPC Semiconductor,AI Semiconductor,AI/HPC,Core Manufacturing,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,CORE
2454,聯發科,TWSE,電子工業,IC設計,AI / HPC Semiconductor,AI/Edge IC,AI/Edge,Designer,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
3661,世芯-KY,TWSE,半導體業,ASIC/IP,AI / HPC Semiconductor,AI ASIC,AI/HPC,Design Service,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
3443,創意,TWSE,半導體業,ASIC/IP,AI / HPC Semiconductor,AI ASIC,AI/HPC,Design Service,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
3034,聯詠,TWSE,半導體業,SoC/Display IC,AI / HPC Semiconductor,AI Edge,Edge AI,Designer,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
2379,瑞昱,TWSE,半導體業,Network IC,AI / HPC Semiconductor,AI Networking,AI,Designer,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
5274,信驊,,半導體業,BMC,AI / HPC Semiconductor,Server IC,AI Server,Infrastructure IC,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
6531,愛普*,TWSE,半導體業,Memory Interface,AI / HPC Semiconductor,AI Memory,AI/HPC,Interface,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
2330,台積電,TWSE,電子工業,晶圓製造,Advanced Packaging,Advanced Packaging,AI/HPC,Foundry/Packaging,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,CORE
3711,日月光投控,TWSE,半導體業,封裝測試,Advanced Packaging,Advanced Packaging,AI/HPC,OSAT,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
6239,力成,TWSE,半導體業,封裝測試,Advanced Packaging,Advanced Packaging,Memory/HPC,OSAT,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
6147,頎邦,,半導體業,封測,Advanced Packaging,Packaging/Test,AI,OSAT,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
3037,欣興,TWSE,電子零組件業,IC載板,Advanced Packaging,Advanced Packaging,AI/HPC,Substrate,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,CORE
3189,景碩,TWSE,電子零組件業,IC載板,Advanced Packaging,Advanced Packaging,AI/HPC,Substrate,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
8046,南電,TWSE,電子零組件業,IC載板,Advanced Packaging,Advanced Packaging,AI/HPC,Substrate,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
3680,家登,,電子零組件業,半導體載具,Advanced Packaging,Advanced Packaging,AI,Carrier,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
2408,南亞科,TWSE,電子工業,記憶體,Memory / HBM,DRAM/HBM,AI Memory,Memory,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
2344,華邦電,TWSE,電子工業,記憶體,Memory / HBM,Memory,AI/Edge,Memory,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
2337,旺宏,TWSE,電子工業,記憶體,Memory / HBM,NOR/Memory,AI/Edge,Memory,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
3006,晶豪科,TWSE,半導體業,記憶體IC,Memory / HBM,Memory,AI/Edge,Memory IC,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
6531,愛普*,TWSE,半導體業,記憶體介面,Memory / HBM,Memory Interface,AI/HPC,Interface,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
8299,群聯,,半導體業,控制器,Memory / HBM,NAND/SSD,AI Storage,Controller,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
2404,漢唐,TWSE,電子工業,廠務工程,Semiconductor Equipment & Materials,Semi Equipment,AI Capex,Facility,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
6196,帆宣,TWSE,電子工業,廠務/自動化,Semiconductor Equipment & Materials,Semi Equipment,AI Capex,System Integrator,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
3583,辛耘,TWSE,半導體業,設備,Semiconductor Equipment & Materials,Semi Equipment,AI Capex,Equipment,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
3131,弘塑,,電機機械,設備,Semiconductor Equipment & Materials,Wet Process,AI/HPC,Equipment,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
3680,家登,,電子零組件業,載具,Semiconductor Equipment & Materials,Semi Materials,AI,Carrier,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
6223,旺矽,,半導體業,探針卡/測試,Semiconductor Equipment & Materials,Semi Test,AI,Test,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
6510,精測,,半導體業,Probe Card,Semiconductor Equipment & Materials,Semi Test,AI/HPC,Test,1.0,medium,analyst_mapping(2026-09-04),2026-09-04,
